epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.981,2.04195,0.70303,0.94545,1.32671,3.29897e-05,3.29897e-05,0.0670433
2,147.172,1.27843,0.84242,0.98182,0.67678,6.08514e-05,6.08514e-05,0.0337378
3,219.586,0.8583,0.87879,0.98182,0.45101,8.32131e-05,8.32131e-05,0.000426856
4,291.233,0.68307,0.89697,0.99394,0.33006,7.525e-05,7.525e-05,7.525e-05
5,363.038,0.58387,0.91515,1,0.29842,6.7e-05,6.7e-05,6.7e-05
6,435.211,0.45823,0.90909,1,0.25869,5.875e-05,5.875e-05,5.875e-05
7,507.011,0.38626,0.91515,0.99394,0.24492,5.05e-05,5.05e-05,5.05e-05
8,578.755,0.35458,0.94545,0.99394,0.20402,4.225e-05,4.225e-05,4.225e-05
9,650.264,0.31193,0.94545,0.99394,0.19386,3.4e-05,3.4e-05,3.4e-05
10,721.796,0.30426,0.94545,0.99394,0.17873,2.575e-05,2.575e-05,2.575e-05
11,793.504,0.30651,0.95152,1,0.24821,1.75e-05,1.75e-05,1.75e-05
12,865.286,0.22716,0.93939,0.99394,0.18287,9.25e-06,9.25e-06,9.25e-06
