epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.2633,2.01627,0.58788,0.9697,1.45126,3.29897e-05,3.29897e-05,0.0670433
2,123.063,1.3841,0.8,0.99394,0.82921,6.08514e-05,6.08514e-05,0.0337378
3,182.865,1.07253,0.81212,0.98182,0.6514,8.32131e-05,8.32131e-05,0.000426856
4,247.887,0.89003,0.86667,0.98788,0.48671,7.525e-05,7.525e-05,7.525e-05
5,310.192,0.7824,0.87273,0.99394,0.41402,6.7e-05,6.7e-05,6.7e-05
6,369.856,0.68109,0.89697,0.99394,0.33075,5.875e-05,5.875e-05,5.875e-05
7,428.978,0.63107,0.90909,0.99394,0.34664,5.05e-05,5.05e-05,5.05e-05
8,487.471,0.61575,0.91515,1,0.26684,4.225e-05,4.225e-05,4.225e-05
9,546.611,0.52557,0.93333,1,0.27363,3.4e-05,3.4e-05,3.4e-05
10,605.916,0.51331,0.90909,1,0.26262,2.575e-05,2.575e-05,2.575e-05
11,664.295,0.53272,0.92121,1,0.285,1.75e-05,1.75e-05,1.75e-05
12,722.854,0.47077,0.92121,1,0.24314,9.25e-06,9.25e-06,9.25e-06
