epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.4264,2.01744,0.6303,0.97576,1.3884,3.29897e-05,3.29897e-05,0.0670433
2,108.116,1.395,0.73939,0.98788,0.89931,6.08514e-05,6.08514e-05,0.0337378
3,161.098,1.0808,0.81212,0.98182,0.70754,8.32131e-05,8.32131e-05,0.000426856
4,214.287,0.89438,0.86061,0.98182,0.53945,7.525e-05,7.525e-05,7.525e-05
5,267.656,0.76159,0.86667,0.98182,0.47144,6.7e-05,6.7e-05,6.7e-05
6,321.978,0.65913,0.92727,0.98182,0.36482,5.875e-05,5.875e-05,5.875e-05
7,378.281,0.61438,0.90303,0.98788,0.37947,5.05e-05,5.05e-05,5.05e-05
8,435.571,0.5679,0.91515,0.98788,0.29974,4.225e-05,4.225e-05,4.225e-05
9,488.577,0.53983,0.92727,0.98788,0.31082,3.4e-05,3.4e-05,3.4e-05
10,541.182,0.49887,0.90303,0.98182,0.30316,2.575e-05,2.575e-05,2.575e-05
11,593.757,0.48315,0.90909,0.98182,0.34018,1.75e-05,1.75e-05,1.75e-05
12,647.273,0.47753,0.91515,0.98182,0.27882,9.25e-06,9.25e-06,9.25e-06
