epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,64.22,2.17448,0.53333,0.95152,1.70833,3.29897e-05,3.29897e-05,0.0670433
2,135.91,1.60299,0.78788,0.9697,1.17153,6.08514e-05,6.08514e-05,0.0337378
3,205.546,1.2721,0.81212,0.97576,0.8611,8.32131e-05,8.32131e-05,0.000426856
4,273.749,1.03116,0.85455,0.98788,0.63953,7.525e-05,7.525e-05,7.525e-05
5,340.393,0.90072,0.87879,1,0.55251,6.7e-05,6.7e-05,6.7e-05
6,406.739,0.74887,0.90909,1,0.4603,5.875e-05,5.875e-05,5.875e-05
7,469.789,0.69894,0.88485,0.99394,0.44279,5.05e-05,5.05e-05,5.05e-05
8,532.779,0.66681,0.92121,1,0.3375,4.225e-05,4.225e-05,4.225e-05
9,596.147,0.57558,0.91515,1,0.32811,3.4e-05,3.4e-05,3.4e-05
10,658.632,0.54245,0.90303,1,0.32985,2.575e-05,2.575e-05,2.575e-05
11,721.478,0.56436,0.91515,1,0.38819,1.75e-05,1.75e-05,1.75e-05
12,784.675,0.48887,0.91515,1,0.34249,9.25e-06,9.25e-06,9.25e-06
