epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.6825,2.22419,0.53939,0.92121,1.89626,3.29897e-05,3.29897e-05,0.0670433
2,107.045,1.77568,0.63636,0.95758,1.44937,6.08514e-05,6.08514e-05,0.0337378
3,159.11,1.50677,0.72727,0.95152,1.16499,8.32131e-05,8.32131e-05,0.000426856
4,211.041,1.30697,0.78182,0.9697,0.99297,7.525e-05,7.525e-05,7.525e-05
5,264.186,1.15323,0.80606,0.97576,0.88039,6.7e-05,6.7e-05,6.7e-05
6,316.398,1.01537,0.8303,0.97576,0.76089,5.875e-05,5.875e-05,5.875e-05
7,368.07,0.96943,0.86061,0.99394,0.65836,5.05e-05,5.05e-05,5.05e-05
8,419.76,0.9098,0.86061,1,0.58109,4.225e-05,4.225e-05,4.225e-05
9,471.977,0.8167,0.86061,0.99394,0.59026,3.4e-05,3.4e-05,3.4e-05
10,523.696,0.79599,0.85455,0.99394,0.50999,2.575e-05,2.575e-05,2.575e-05
11,575.311,0.7913,0.8303,0.98182,0.5952,1.75e-05,1.75e-05,1.75e-05
12,627.366,0.72658,0.85455,0.98788,0.5449,9.25e-06,9.25e-06,9.25e-06
