epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.1324,2.10096,0.69091,0.95758,1.53907,3.29897e-05,3.29897e-05,0.0670433
2,155.441,1.47506,0.78182,0.98182,0.98144,6.08514e-05,6.08514e-05,0.0337378
3,237.709,1.14385,0.83636,0.98788,0.66099,8.32131e-05,8.32131e-05,0.000426856
4,320.986,0.89844,0.90303,0.98788,0.4892,7.525e-05,7.525e-05,7.525e-05
5,405.06,0.75376,0.90909,0.99394,0.42605,6.7e-05,6.7e-05,6.7e-05
6,489.485,0.64489,0.92121,1,0.33423,5.875e-05,5.875e-05,5.875e-05
7,569.686,0.58526,0.93333,1,0.29867,5.05e-05,5.05e-05,5.05e-05
8,650.531,0.51762,0.93333,1,0.23775,4.225e-05,4.225e-05,4.225e-05
9,733.119,0.44207,0.93333,1,0.25007,3.4e-05,3.4e-05,3.4e-05
10,838.135,0.42884,0.92727,1,0.22581,2.575e-05,2.575e-05,2.575e-05
11,918.157,0.43777,0.94545,0.99394,0.24073,1.75e-05,1.75e-05,1.75e-05
12,998.489,0.38235,0.94545,1,0.20901,9.25e-06,9.25e-06,9.25e-06
